id,Rdiff,SRS,R_G,R,RBI,OBP,OPSP,RA,ERA,SV,HA,ER,ERAP,WHIP,pos_1_age,pos_1_R,pos_1_H,pos_1_RBI,pos_1_BB,pos_1_OPSP,pos_1_TB,pos_2_age,pos_2_R,pos_2_H,pos_2_RBI,pos_2_BB,pos_2_OPSP,pos_2_TB,pos_3_age,pos_3_R,pos_3_H,pos_3_RBI,pos_3_BB,pos_3_OPSP,pos_3_TB,pos_4_age,pos_4_R,pos_4_H,pos_4_RBI,pos_4_BB,pos_4_OPSP,pos_4_TB,starting_pitcher_age,starting_pitcher_W_L_Percentage,starting_pitcher_ERA,starting_pitcher_IP,starting_pitcher_ER,starting_pitcher_SO,starting_pitcher_ERAP,starting_pitcher_FIP,starting_pitcher_WHIP,starting_pitcher_HR9,starting_pitcher_BB9,starting_pitcher_SO9
289,0.300,0.500,5.012,812.000,3.660,0.329,94.000,4.000,127.000,43.000,1309.000,586.000,1.266,2.870,29,73,113,49,35,100.000,200,25,41,97,51,17,85.000,160,29,117,166,120,94,142.000,314,26,19,40,32,13,88.000,77,27,0.519,4.030,189.200,85,178,116,4.080,1.418,1.200,2.900,8.400
301,0.300,0.500,5.012,812.000,3.660,0.329,94.000,4.000,127.000,43.000,1309.000,586.000,1.266,2.870,29,73,113,49,35,100.000,200,29,82,154,57,43,100.000,233,29,117,166,120,94,142.000,314,26,89,133,105,87,112.000,261,27,0.471,3.370,155.000,58,165,139,3.410,1.142,0.900,3.100,9.600
315,0.300,0.500,5.012,812.000,3.660,0.329,94.000,4.000,127.000,43.000,1309.000,586.000,1.266,2.870,29,73,113,49,35,100.000,200,29,82,154,57,43,100.000,233,29,117,166,120,94,142.000,314,26,89,133,105,87,112.000,261,24,0.500,3.490,157.100,61,146,135,4.040,1.328,1.000,3.500,8.400
326,0.300,0.500,5.012,812.000,3.660,0.329,94.000,4.000,127.000,43.000,1309.000,586.000,1.266,2.870,29,73,113,49,35,100.000,200,25,41,97,51,17,85.000,160,29,117,166,120,94,142.000,314,26,19,40,32,13,88.000,77,25,0.750,2.890,162.000,52,218,163,3.720,1.154,1.300,3.900,12.100
341,0.300,0.500,5.012,812.000,3.660,0.329,94.000,4.000,127.000,43.000,1309.000,586.000,1.266,2.870,29,73,113,49,35,100.000,200,25,41,97,51,17,85.000,160,29,117,166,120,94,142.000,314,26,89,133,105,87,112.000,261,33,0.708,3.200,202.100,72,215,147,3.310,1.072,1.100,2.000,9.600
354,0.300,0.500,5.012,812.000,3.660,0.329,94.000,4.000,127.000,43.000,1309.000,586.000,1.266,2.870,29,10,18,10,9,156.000,30,29,82,154,57,43,100.000,233,29,117,166,120,94,142.000,314,26,89,133,105,87,112.000,261,27,0.519,4.030,189.200,85,178,116,4.080,1.418,1.200,2.900,8.400
473,0.300,0.500,5.012,812.000,3.660,0.329,94.000,4.000,127.000,43.000,1309.000,586.000,1.266,2.870,29,73,113,49,35,100.000,200,29,82,154,57,43,100.000,233,29,117,166,120,94,142.000,314,26,89,133,105,87,112.000,261,25,0.750,2.890,162.000,52,218,163,3.720,1.154,1.300,3.900,12.100
489,0.300,0.500,5.012,812.000,3.660,0.329,94.000,4.000,127.000,43.000,1309.000,586.000,1.266,2.870,29,73,113,49,35,100.000,200,25,41,97,51,17,85.000,160,29,117,166,120,94,142.000,314,26,89,133,105,87,112.000,261,27,0.471,3.370,155.000,58,165,139,3.410,1.142,0.900,3.100,9.600
502,0.300,0.500,5.012,812.000,3.660,0.329,94.000,4.000,127.000,43.000,1309.000,586.000,1.266,2.870,29,73,113,49,35,100.000,200,29,82,154,57,43,100.000,233,29,117,166,120,94,142.000,314,26,89,133,105,87,112.000,261,33,0.708,3.200,202.100,72,215,147,3.310,1.072,1.100,2.000,9.600
512,0.300,0.500,5.012,812.000,3.660,0.329,94.000,4.000,127.000,43.000,1309.000,586.000,1.266,2.870,29,73,113,49,35,100.000,200,29,82,154,57,43,100.000,233,29,117,166,120,94,142.000,314,26,89,133,105,87,112.000,261,27,0.519,4.030,189.200,85,178,116,4.080,1.418,1.200,2.900,8.400
526,0.300,0.500,5.012,812.000,3.660,0.329,94.000,4.000,127.000,43.000,1309.000,586.000,1.266,2.870,33,43,55,13,31,77.000,80,29,82,154,57,43,100.000,233,29,117,166,120,94,142.000,314,26,89,133,105,87,112.000,261,24,0.500,3.490,157.100,61,146,135,4.040,1.328,1.000,3.500,8.400
540,0.300,0.500,5.012,812.000,3.660,0.329,94.000,4.000,127.000,43.000,1309.000,586.000,1.266,2.870,29,73,113,49,35,100.000,200,29,82,154,57,43,100.000,233,29,117,166,120,94,142.000,314,26,89,133,105,87,112.000,261,25,0.750,2.890,162.000,52,218,163,3.720,1.154,1.300,3.900,12.100
557,0.300,0.500,5.012,812.000,3.660,0.329,94.000,4.000,127.000,43.000,1309.000,586.000,1.266,2.870,26,19,32,9,8,56.000,46,25,41,97,51,17,85.000,160,29,117,166,120,94,142.000,314,26,89,133,105,87,112.000,261,27,0.471,3.370,155.000,58,165,139,3.410,1.142,0.900,3.100,9.600
